===============================================================
Gobuster v3.8
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:            https://www.silabs.com/wireless/wi-fi/siwx917y-wireless-modules
[+] Method:         GET
[+] Threads:        100
[+] Wordlist:       /home/yaniv/wl/yaniv_wordlist/dir-all.txt
[+] Status codes:   500,200,301,302,403,401
[+] User Agent:     gobuster/3.8
[+] Timeout:        10s
===============================================================
Starting gobuster in directory enumeration mode
===============================================================
/abatrustinvestments  (Status: 403) [Size: 450]
/abaut                (Status: 403) [Size: 436]
/abaum                (Status: 403) [Size: 436]
/abavlockyeraginsurancebrief (Status: 403) [Size: 458]
/abavlockyeramjud     (Status: 403) [Size: 447]
/abavlockyercse       (Status: 403) [Size: 445]
/abavlockyergovt      (Status: 403) [Size: 446]
/abavlockyereloanamicus (Status: 403) [Size: 453]
/abavlockyerplbrief   (Status: 403) [Size: 449]
/abavlockyerins       (Status: 403) [Size: 445]
/abavlockyerninecir   (Status: 403) [Size: 449]
/abavlockyersumjudopp (Status: 403) [Size: 451]
/abavlockyerstateamicus (Status: 403) [Size: 453]
/abba                 (Status: 403) [Size: 435]
/abbadingo            (Status: 403) [Size: 440]
/abay                 (Status: 403) [Size: 435]
/AbbatheFox           (Status: 403) [Size: 441]
/abaward              (Status: 403) [Size: 438]
/abbasi               (Status: 403) [Size: 437]
/abbastoc             (Status: 403) [Size: 439]
/Abbaye               (Status: 403) [Size: 437]
/abbbs                (Status: 403) [Size: 436]
/abbe                 (Status: 403) [Size: 435]
/Abbey                (Status: 403) [Size: 436]
/abbey                (Status: 403) [Size: 436]
/Abbeynet             (Status: 403) [Size: 439]
/abbeyreid            (Status: 403) [Size: 440]
/abbh                 (Status: 403) [Size: 435]
/Abbigliamento        (Status: 403) [Size: 444]
/abbigliamento        (Status: 403) [Size: 444]
/abbm                 (Status: 403) [Size: 435]
/abbott               (Status: 403) [Size: 437]
/Abbott               (Status: 403) [Size: 437]
/AbbottS              (Status: 403) [Size: 438]
/abandoned            (Status: 403) [Size: 440]
/abbreviations        (Status: 403) [Size: 444]
/abbra                (Status: 403) [Size: 436]
/abbutton             (Status: 403) [Size: 439]
/abamnmemgreen        (Status: 403) [Size: 444]
/abbywinters          (Status: 403) [Size: 442]
/abby                 (Status: 403) [Size: 435]
/abbyveroni           (Status: 403) [Size: 441]
/abbyynewsreader      (Status: 403) [Size: 446]
/ABC                  (Status: 403) [Size: 434]
/ABBYY                (Status: 403) [Size: 436]
/abc                  (Status: 403) [Size: 434]
/abcatg               (Status: 403) [Size: 437]
/ABCD                 (Status: 403) [Size: 435]
/abcbienmi            (Status: 403) [Size: 440]
/abcdefg              (Status: 403) [Size: 438]
/abcdef               (Status: 403) [Size: 437]
/abcink               (Status: 403) [Size: 437]
/abckru               (Status: 403) [Size: 437]
/abchot               (Status: 403) [Size: 437]
/abcl                 (Status: 403) [Size: 435]
/abcnap               (Status: 403) [Size: 437]
/abcnewlogo           (Status: 403) [Size: 441]
/abcnetworks          (Status: 403) [Size: 442]
/ABCNews              (Status: 403) [Size: 438]
/abcnewsvod           (Status: 403) [Size: 441]
/abcnewstory          (Status: 403) [Size: 442]
/abcontact            (Status: 403) [Size: 440]
/abcolors             (Status: 403) [Size: 439]
/abb                  (Status: 403) [Size: 434]
/abcoutlookcon        (Status: 403) [Size: 444]
/abcpart              (Status: 403) [Size: 438]
/abcpdf               (Status: 403) [Size: 437]
/ABCpdf               (Status: 403) [Size: 437]
/abcpdfconverter      (Status: 403) [Size: 446]
/abbeta               (Status: 403) [Size: 437]
/ABBA                 (Status: 403) [Size: 435]
/abcs                 (Status: 403) [Size: 435]
/ABCrm                (Status: 403) [Size: 436]
/abcscrabble          (Status: 403) [Size: 442]
/abcscreditcard       (Status: 403) [Size: 445]
/abcsearch            (Status: 403) [Size: 440]
/abcsie               (Status: 403) [Size: 437]
/abboud               (Status: 403) [Size: 437]
/abbrev               (Status: 403) [Size: 437]
/abd                  (Status: 403) [Size: 434]
/abcargentino         (Status: 403) [Size: 443]
/abdabi               (Status: 403) [Size: 437]
/AbbyWinters          (Status: 403) [Size: 442]
/abdesign             (Status: 403) [Size: 439]
/abdo                 (Status: 403) [Size: 435]
/abdoeriivhs          (Status: 403) [Size: 442]
/abcbanner            (Status: 403) [Size: 440]
/abdoerpro            (Status: 403) [Size: 440]
/abductions           (Status: 403) [Size: 441]
/abductionsmallicon   (Status: 403) [Size: 449]
/Abducted             (Status: 403) [Size: 439]
/abdulahad            (Status: 403) [Size: 440]
/abdullah             (Status: 403) [Size: 439]
/ab                   (Status: 403) [Size: 433]
/aasmap               (Status: 403) [Size: 437]
/abdymoghaddam        (Status: 403) [Size: 444]
/ABE                  (Status: 403) [Size: 434]
/abEDUC               (Status: 403) [Size: 437]
/abebooks             (Status: 403) [Size: 439]
/abee                 (Status: 403) [Size: 435]
/abeflier             (Status: 403) [Size: 439]
/ABeginnersGuideToWirelessSecurity (Status: 403) [Size: 464]
/abeichman            (Status: 403) [Size: 440]
/abelenin             (Status: 403) [Size: 439]
/abel                 (Status: 403) [Size: 435]
/abcvideo             (Status: 403) [Size: 439]
/AbelKiller           (Status: 403) [Size: 441]
/Abendkleid           (Status: 403) [Size: 441]
/abell                (Status: 403) [Size: 436]
/abdera               (Status: 403) [Size: 437]
/abep                 (Status: 403) [Size: 435]
/Abenobashi           (Status: 403) [Size: 441]
/aber                 (Status: 403) [Size: 435]
/abercrombiebelts     (Status: 403) [Size: 447]
/abercrombie          (Status: 403) [Size: 442]
/abercrombiefitchbomber (Status: 403) [Size: 453]
/abercrombiegirlsexy  (Status: 403) [Size: 450]
/abednarz             (Status: 403) [Size: 439]
/abercrombiejackets   (Status: 403) [Size: 449]
/abercrombiesequin    (Status: 403) [Size: 448]
/abeflierback         (Status: 403) [Size: 443]
/abercrombietiana     (Status: 403) [Size: 447]
/abercrombievintagecords (Status: 403) [Size: 454]
/Aberdare             (Status: 403) [Size: 439]
/abellSent            (Status: 403) [Size: 440]
/aberdeen             (Status: 403) [Size: 439]
/abendschuhe          (Status: 403) [Size: 442]
/abercrombieandfitchkensington (Status: 403) [Size: 460]
/aberdeenlogo         (Status: 403) [Size: 443]
/aberdeennews         (Status: 403) [Size: 443]
/abamunicipalitem     (Status: 403) [Size: 447]
/abercrombieconnorvest (Status: 403) [Size: 452]
